Title,URL,Visited Date and Time,Total Time Spent (s),Total Time Spent (m)
"Inbox (55) - javahangout2018@gmail.com - Gmail","https://mail.google.com/mail/u/0/?hl=en#inbox","2024-08-20 09:48:50",0.00,0.00
"Inbox (55) - javahangout2018@gmail.com - Gmail","https://mail.google.com/mail/u/0/?hl=en#inbox","2024-08-20 10:01:30",0.00,0.00
"ChatGPT","https://chatgpt.com/","2024-08-21 08:41:48",0.00,0.00
"Inbox (55) - javahangout2018@gmail.com - Gmail","https://mail.google.com/mail/u/0/?hl=en#inbox","2024-08-21 08:43:09",0.00,0.00
"Inbox (55) - javahangout2018@gmail.com - Gmail","https://mail.google.com/mail/u/0/?hl=en#inbox","2024-08-21 08:53:56",0.00,0.00
"ChatGPT","https://chatgpt.com/","2024-08-21 09:14:02",0.00,0.00
"(91) WhatsApp","https://web.whatsapp.com/","2024-08-21 10:20:42",0.00,0.00
"Inbox (55) - javahangout2018@gmail.com - Gmail","https://mail.google.com/mail/u/0/?hl=en#inbox","2024-08-21 10:23:55",0.00,0.00
"(91) WhatsApp","https://web.whatsapp.com/","2024-08-23 09:42:31",0.00,0.00
"(91) WhatsApp","https://web.whatsapp.com/","2024-08-23 09:55:00",0.00,0.00
"(91) WhatsApp","https://web.whatsapp.com/","2024-08-25 21:01:27",0.00,0.00
"(91) WhatsApp","https://web.whatsapp.com/","2024-08-25 21:01:52",0.00,0.00
"ChatGPT","https://chatgpt.com/","2024-08-25 21:18:51",0.00,0.00
"ChatGPT","https://chatgpt.com/","2024-08-25 21:18:52",0.00,0.00
"Gmail","https://accounts.google.com/InteractiveLogin?continue=https://mail.google.com/mail/u/0/?hl%3Den&emr=1&followup=https://mail.google.com/mail/u/0/?hl%3Den&hl=en&osid=1&passive=1209600&service=mail&ifkv=Ab5oB3pZF9z5Du88QNnVC8dPxUPNvi11_dKZ-0Rr8jEl2ozqayM9OVO8vIXULjEensYuRN8u83naPg#inbox","2024-08-29 09:32:33",0.00,0.00
"Gmail","https://accounts.google.com/ServiceLogin?service=mail&passive=1209600&osid=1&continue=https://mail.google.com/mail/u/0/?hl%3Den&followup=https://mail.google.com/mail/u/0/?hl%3Den&hl=en&emr=1#inbox","2024-08-29 09:32:33",0.00,0.00
"Inbox (55) - javahangout2018@gmail.com - Gmail","https://mail.google.com/mail/u/0/?hl=en#inbox","2024-08-29 09:32:33",0.00,0.00
"Inbox (55) - javahangout2018@gmail.com - Gmail","https://mail.google.com/mail/u/0/?hl=en#inbox","2024-08-29 09:47:22",0.00,0.00
"(91) WhatsApp","https://web.whatsapp.com/","2024-08-29 10:00:53",0.00,0.00
"ChatGPT","https://chatgpt.com/","2024-09-10 07:36:49",0.00,0.00
"ChatGPT","https://chatgpt.com/","2024-09-10 07:36:49",0.00,0.00
"ChatGPT","https://chatgpt.com/","2024-09-10 07:36:49",0.00,0.00
"Inbox (55) - javahangout2018@gmail.com - Gmail","https://mail.google.com/mail/u/0/?hl=en#inbox","2024-09-10 07:53:59",0.00,0.00
"Inbox (55) - javahangout2018@gmail.com - Gmail","https://mail.google.com/mail/u/0/?hl=en#inbox","2024-09-10 07:53:59",0.00,0.00
"Inbox (55) - javahangout2018@gmail.com - Gmail","https://mail.google.com/mail/u/0/?hl=en#inbox","2024-09-10 07:53:59",0.00,0.00
"Inbox (55) - javahangout2018@gmail.com - Gmail","https://mail.google.com/mail/u/0/?hl=en#inbox","2024-09-14 19:09:55",0.00,0.00
"Inbox (55) - javahangout2018@gmail.com - Gmail","https://mail.google.com/mail/u/0/?hl=en#inbox","2024-09-14 20:38:41",0.00,0.00
"Inbox (55) - javahangout2018@gmail.com - Gmail","https://mail.google.com/mail/u/0/?hl=en#inbox","2024-09-14 20:38:41",0.00,0.00
"Flowchart Maker & Online Diagram Software","http://draw.io/","2024-09-14 22:01:48",0.00,0.00
"Flowchart Maker & Online Diagram Software","http://draw.io/","2024-09-14 22:01:48",0.00,0.00
"Flowchart Maker & Online Diagram Software","https://draw.io/","2024-09-14 22:01:48",0.00,0.00
"Flowchart Maker & Online Diagram Software","https://draw.io/","2024-09-14 22:01:48",0.00,0.00
"Flowchart Maker & Online Diagram Software","https://app.diagrams.net/","2024-09-14 22:01:48",0.00,0.00
"Flowchart Maker & Online Diagram Software","https://app.diagrams.net/","2024-09-14 22:01:48",0.00,0.00
"Inbox (55) - javahangout2018@gmail.com - Gmail","https://mail.google.com/mail/u/0/?hl=en#inbox","2024-09-17 09:50:13",0.00,0.00
"Inbox (55) - javahangout2018@gmail.com - Gmail","https://mail.google.com/mail/u/0/?hl=en#inbox","2024-09-17 09:50:13",0.00,0.00
"Inbox (55) - javahangout2018@gmail.com - Gmail","https://mail.google.com/mail/u/0/?hl=en#inbox","2024-09-17 13:35:55",0.00,0.00
"YouTube","https://www.youtube.com/","2024-09-17 13:37:48",0.00,0.00
"Inbox (55) - javahangout2018@gmail.com - Gmail","https://mail.google.com/mail/u/0/?hl=en#inbox","2024-09-18 13:50:02",0.00,0.00
"Inbox (55) - javahangout2018@gmail.com - Gmail","https://mail.google.com/mail/u/0/?hl=en#inbox","2024-09-18 13:53:22",0.00,0.00
"Inbox (55) - javahangout2018@gmail.com - Gmail","https://mail.google.com/mail/u/0/?hl=en#inbox","2024-09-18 14:02:11",0.00,0.00
"YouTube","https://www.youtube.com/","2024-10-04 23:02:01",0.00,0.00
"YouTube","https://www.youtube.com/","2024-10-05 00:18:19",0.00,0.00
"YouTube","https://www.youtube.com/","2024-10-05 00:18:31",0.00,0.00
"YouTube","https://www.youtube.com/","2024-10-05 00:32:45",0.00,0.00
"YouTube","https://www.youtube.com/","2024-10-05 00:34:45",0.00,0.00
"YouTube","https://www.youtube.com/","2024-10-05 00:35:34",0.00,0.00
"YouTube","https://www.youtube.com/","2024-10-05 00:40:33",0.00,0.00
"Inbox (55) - javahangout2018@gmail.com - Gmail","https://mail.google.com/mail/u/0/?hl=en&pli=1#inbox","2024-10-27 11:52:58",0.00,0.00
"Inbox (55) - javahangout2018@gmail.com - Gmail","https://mail.google.com/mail/u/0/?hl=en#inbox","2024-10-27 11:52:58",0.00,0.00
"Inbox (55) - javahangout2018@gmail.com - Gmail","https://mail.google.com/mail/u/0/?hl=en#inbox","2024-10-27 11:52:58",0.00,0.00
"Inbox (55) - javahangout2018@gmail.com - Gmail","https://accounts.google.com/ServiceLogin?service=mail&passive=1209600&osid=1&continue=https://mail.google.com/mail/u/0/?hl%3Den&followup=https://mail.google.com/mail/u/0/?hl%3Den&hl=en&emr=1&authuser=0#inbox","2024-10-27 11:52:58",0.00,0.00
